PWSID	SystemName	Group	County	OwnerTypeDesc	ResPop	ResConn	TotalConn	ApprovSvcs	EffectiveDate	PWSAddress1	PWSCity	WSState	WSZipCode
00008	ADAMS COUNTY FAIR	A	ADAMS	County	0	0	157	0	05/01/1980	210 WEST ALDER	RITZVILLE	WA	99169
00020	PORT OF ROYAL SLOPE	A	GRANT	Special District	0	0	4	25	01/24/2002	PO BOX 147	ROYAL CITY	WA	99357
00029	CARLSBORG MOBILE ESTATES	A	CLALLAM	Investor	69	53	53	53	01/01/1980	PO BOX 92	SEQUIM	WA	98382
00045	LOOKOUT POINT	A	KITSAP	Investor	72	27	28	28	11/08/1990	PO BOX 336	GIG HARBOR	WA	98335-0336
00050	"ABERDEEN, CITY OF"	A	GRAYS HARBOR	City/Town	"16,920"	6755	"7,498"	0	01/01/1970	200 E MARKET ST	ABERDEEN	WA	98520
00058	JEFFERSON COUNTY LUD #3	A	JEFFERSON	Special District	800	320	320	619	11/08/1990	PO BOX 929	PORT HADLOCK	WA	98339
00066	ISSAQUAH CHRISTIAN CHURCH	A	KING	Private	0	0	2	2	03/23/2004	PO BOX 1028	ISSAQUAH	WA	98027
00100	"ENERGY, DEPT OF/200W"	A	BENTON	Federal	0	0	189	0	11/13/1990	PO BOX 650  MSIN:S0-20	RICHLAND	WA	99352
00101	KEY PENINSULA CIVIC CENTER ASSN	A	PIERCE	Private	1	1	2	2	10/01/1990	PO BOX 82	VAUGHN	WA	98394
00111	CAMP COWLES	A	PEND OREILLE	Private	2	7	37	0	09/20/1990	4161 NORTHSHORE DIAMOND LAKE RD	NEWPORT	WA	99156
00119	KONTREE APARTMENTS WATER SYSTEM	A	WHATCOM	Investor	60	36	36	0	11/21/1990	"6951 HANNEGAN ROAD, #2"	LYNDEN	WA	98264
00133	CORNERSTONE ESTATES 606	A	THURSTON	Special District	48	15	15	16	11/29/1990	921 LAKERIDGE WAY SW SUITE 301	OLYMPIA	WA	98502
00153	TWANOH HEIGHTS COMMUNITY CLUB	A	MASON	Special District	98	39	39	75	04/01/1980	21971 N HWY. 101	SHELTON	WA	98584
00177	"ENERGY, DEPT OF/100K"	A	BENTON	Federal	0	0	5	0	12/18/1990	PO BOX 1600 MS:X3-20	RICHLAND	WA	99352
00223	COPALIS RV PARK OWNERS	A	GRAYS HARBOR	Private	9	9	23	28	04/01/1980	112 DOGWOOD  DR	CHEHALIS	WA	98532
00238	DALLESPORT INDUSTRIAL PARK	A	KLICKITAT	Special District	0	0	57	539	04/01/1980	1313 S COLUMBUS AVE	GOLDENDALE	WA	98620
00240	G&M ESTATE	A	THURSTON	Investor	2	2	5	5	04/01/1980	PO BOX 123	PORT ORCHARD	WA	98366
00250	ACME WATER DISTRICT NO 18	A	WHATCOM	Special District	273	93	101	190	01/01/1970	PO BOX 13	ACME	WA	98220
00253	CEDARWOOD SOUTH UNION ESTATES	A	THURSTON	Investor	117	44	44	50	05/01/1980	6800 MERIDIAN RD SE	OLYMPIA	WA	98513-6302
00270	OBSTRUCTION ISLAND COMMUNITY CLUB	A	SAN JUAN	Association	24	31	31	42	11/03/1995	2455 277TH AVE SE	SAMMAMISH	WA	98075
00302	FOUR SEASONS PARK	A	CLALLAM	Association	217	91	91	99	03/01/1980	PO BOX 1989	SEQUIM	WA	98382
00307	CARLSBORG LUD 10 12 13 14	A	CLALLAM	Special District	417	167	237	241	02/05/1991	PO BOX 1090	PORT ANGELES	WA	98362
00315	BIRCHFIELD 207	A	LEWIS	Special District	35	15	17	100	06/19/2003	PO BOX 123	PORT ORCHARD	WA	98366
00323	PORT GAMBLE	A	KITSAP	Private	74	32	48	61	02/20/1991	PO BOX 1989	POULSBO	WA	98370
00333	GRAYS HARBOR CO PACIFIC BEACH	A	GRAYS HARBOR	County	"1,000"	530	551	0	03/25/1991	PO BOX 280	PACIFIC BEACH	WA	98571
00339	TROWBRIDGE COURT CONDO ASSN	A	CLALLAM	Association	16	16	16	16	02/28/1991	PO BOX 336	GIG HARBOR	WA	98335-0336
00367	STEVENS CO PUD - ADDY	A	STEVENS	Special District	243	139	143	151	07/01/1978	PO BOX 592	LOON LAKE	WA	99148
00370	ROSE VALLEY SCHOOL	A	COWLITZ	Special District	0	0	3	0	04/01/1980	612 ASH ST	KELSO	WA	98626
00392	SKAGIT CO WATER DISTRICT #1	A	SKAGIT	Special District	270	121	123	211	04/09/1991	14263 CALHOUN RD	MOUNT VERNON	WA	98273
00410	ADMIRALS  COVE WATER DISTRICT	A	ISLAND	Special District	815	491	491	610	01/01/1970	5421 WOODARD AVE	FREELAND	WA	98249
00429	GREEN ISLAND HILLS WATER ASSN	A	ISLAND	Association	265	70	70	110	04/01/1980	PO BOX 2629	STANWOOD	WA	98292
00431	HI VALLEY VIEW	A	YAKIMA	Association	67	19	19	19	02/01/1979	512 MURRAY RD	YAKIMA	WA	98908
00439	THOUSAND TRAILS-LA CONNER	A	SKAGIT	Investor	0	0	334	0	04/09/1991	16362 SNEEOSH RD	LA CONNER	WA	98257
00469	JOHNSON GLEN	A	THURSTON	Private	2	1	4	6	04/24/1991	8439 OLD HWY 99 SE	OLYMPIA	WA	98501
00484	TOWNSHIP 29 WATER ASSOCIATION	A	ISLAND	Association	38	24	24	28	06/01/1980	PO BOX 2243	OAK HARBOR	WA	98277
00496	AGATE BAY TRAILER PARK	A	WHATCOM	Private	40	25	25	25	01/01/1970	PO BOX 1462	BELLINGHAM	WA	98227
00507	CASCADE ESTATES SATELLITE	A	CLARK	Special District	40	17	17	17	04/18/1991	PO BOX 8900	VANCOUVER	WA	98668
00510	AGATE BEACH	A	MASON	Special District	25	27	27	25	01/01/1970	21971 N HWY. 101	SHELTON	WA	98584
00512	AGATE GROCERY	A	MASON	Private	2	1	2	0	12/01/1979	3841 E AGATE RD	SHELTON	WA	98584
00515	AGATE WEST	A	KITSAP	Investor	100	40	40	40	01/01/1970	PO BOX 1085	POULSBO	WA	98370
