PWSID	Group	SystemName	County	SrcNum	Src_Name	SourceType	SourceUse	TrObjective	TrProcss	Src_EffectieDate	SRC_InactiveDate
00008	A	ADAMS COUNTY FAIR	ADAMS	01	Well #1 AFL235	Well	Permanent			01/01/1970	
00020	A	PORT OF ROYAL SLOPE	GRANT	01	Well #1 - AAN526	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	01/24/2002	
00020	A	PORT OF ROYAL SLOPE	GRANT	02	Well #2 - ALF732	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	10/03/2014	
00029	A	CARLSBORG MOBILE ESTATES	CLALLAM	01	WELL #3 AFN822	Well	Emergency			08/21/1980	
00029	A	CARLSBORG MOBILE ESTATES	CLALLAM	02	WELL #2 APQ211	Well	Permanent			12/26/2007	
00045	A	LOOKOUT POINT	KITSAP	01	Well #1 AES138 WW	Well in Well Field	Permanent			11/08/1990	
00045	A	LOOKOUT POINT	KITSAP	02	Well #2 AES139 WW	Well in Well Field	Permanent			11/08/1990	
00045	A	LOOKOUT POINT	KITSAP	03	WF (S01 & 2)	Well Field	Permanent			07/02/1998	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	ORGANICS AND COLOR REMOVAL	OTHER PROCESSES/OBJECTIVES	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	ORGANICS AND COLOR REMOVAL	FLOCCULATION	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	ORGANICS AND COLOR REMOVAL	"FILTRATION, PRESSURE SAND"	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	CORROSION CONTROL	CORROSION INHIBITORS - PHOSP/SILICA	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	SOFTENING (HARDNESS REMOVAL)	PH ADJUSTMENT	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, PRESSURE SAND"	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	OTHER PROCESSES/OBJECTIVES	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	ORGANICS AND COLOR REMOVAL	COAGULATION	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	DISINFECTION	"CHLORINATION, GASEOUS"	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	DENTAL HEALTH	FLUORIDATION	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	01	Wishkah River	Surface	Permanent	ORGANICS AND COLOR REMOVAL	PH ADJUSTMENT	01/01/1970	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	02	Hoquiam /34350 Aberdeen Ave (2 Way)	Intertie - Untreated	Emergency			09/28/1998	
00050	A	"ABERDEEN, CITY OF"	GRAYS HARBOR	03	Hoquiam /34350 Port Dock (2 Way)	Intertie - Untreated	Emergency			09/28/1998	
00058	A	JEFFERSON COUNTY LUD #3	JEFFERSON	01	WELL #1 NO TAG	Well	Emergency			03/28/1995	03/28/1995
00058	A	JEFFERSON COUNTY LUD #3	JEFFERSON	02	69000/Port Townsend- PTSW	Intertie - Untreated	Permanent			11/08/1990	
00066	A	ISSAQUAH CHRISTIAN CHURCH	KING	01	Well 1	Well	Permanent			03/23/2004	
00066	A	ISSAQUAH CHRISTIAN CHURCH	KING	02	Well 2 BCM154	Well	Permanent			12/17/2012	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	DISINFECTION	"CHLORINATION, GASEOUS"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, RAPID SAND"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	01	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"SEDIMENTATION, OTHER"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"SEDIMENTATION, OTHER"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, RAPID SAND"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	DISINFECTION	"CHLORINATION, GASEOUS"	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	02	COLUMBIA RIVER	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	07/12/1991	07/12/1991
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	DISINFECTION	"CHLORINATION, GASEOUS"	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, RAPID SAND"	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	03	EXPORT LINE	Surface	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"SEDIMENTATION, OTHER"	07/12/1991	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	PARTICULATE (TURBIDITY) REMOVAL	"SEDIMENTATION, OTHER"	01/18/2000	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, RAPID SAND"	01/18/2000	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	DISINFECTION	"CHLORINATION, GASEOUS"	01/18/2000	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	01/18/2000	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	01/18/2000	
00100	A	"ENERGY, DEPT OF/200W"	BENTON	04	"41866V/ENERGY, DEPT 200E"	Intertie - Treated	Emergency	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	01/18/2000	
00101	A	KEY PENINSULA CIVIC CENTER ASSN	PIERCE	01	CIVIC CENTER ACM755	Well	Permanent			10/01/1990	
00111	A	CAMP COWLES	PEND OREILLE	01	Diamond Lake	Surface	Permanent			06/10/1996	06/10/1996
00111	A	CAMP COWLES	PEND OREILLE	02	Diamond Lk Sewer Dist/19207F	Intertie - Treated	Permanent			06/10/1996	
00119	A	KONTREE APARTMENTS WATER SYSTEM	WHATCOM	01	Well 1 - West	Well	Emergency			11/21/1990	
00119	A	KONTREE APARTMENTS WATER SYSTEM	WHATCOM	02	Well 2 - East Unapproved	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	11/21/1990	
00133	A	CORNERSTONE ESTATES 606	THURSTON	01	WELL #1	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	11/29/1990	
