PWSID	SystemName	Group	County	OwnerTypeDesc	ResPop	ResConn	TotalConn	ApprovSvcs	EffectiveDate	PWSAddress1	PWSCity	WSState	WSZipCode
00001	TRIPLE R RENTALS	B	YAKIMA	Investor	0	0	1	0	06/06/2002	3002 FRUITVALE	YAKIMA	WA	98902
00003	AIRPORT RANCH WATER SYSTEM	B	YAKIMA	Private	0	0	2	2	09/01/1979	PO BOX 59	SUNNYSIDE	WA	98944
00005	ADCO WATERMASTER - QCBID	B	GRANT	Federal	8	3	6	0	01/01/1970	PO BOX 188	QUINCY	WA	98848-0188
00006	AUTO VIEW DRIVE-IN	B	STEVENS	Investor	3	1	2	0	07/01/1978	444 AUTO VIEW RD	COLVILLE	WA	99114
00011	BEN ROY RAY ROAD WELL ASSN	B	YAKIMA	Private	10	4	4	0	09/01/1979	2331 RAY RD	SUNNYSIDE	WA	98944
00012	ARTONDALE HILL HOMEOWNER ASSN.	B	PIERCE	Private	24	8	8	7	07/01/1979	5316 - 80TH AVE NW	GIG HARBOR	WA	98335
00014	AQUA VIEW COMMUNITY CLUB INC.	B	ISLAND	Association	10	5	5	0	11/02/1990	PO BOX 477	FREELAND	WA	98249
00015	FLANN SYSTEM	B	ISLAND	Association	6	3	3	3	11/14/1990	7012 W MERCER WY	MERCER ISLAND	WA	98040
00016	STEELE COMMUNITY WATER SYSTEM	B	KING	Private	15	6	6	0	11/02/1990	14236 246TH PLACE SE	ISSAQUAH	WA	98027
00017	KISER #2 COMMUNITY WATER SYSTEM	B	KING	Private	5	2	2	0	10/25/1990	45535 SE EDGEWICK RD	NORTH BEND	WA	98045
00018	LARSON WATER SYSTEM	B	SNOHOMISH	Private	5	3	3	3	01/04/1988	30909 76TH AVE NW	STANWOOD	WA	98292
00019	FULLER WATER SYSTEM	B	WHATCOM	Private	10	4	4	0	12/11/1989	505 WEST BAKERVIEW	BELLINGHAM	WA	98226
00024	ADELAINE ACRES	B	PIERCE	Private	24	9	9	0	10/09/1990	3517 185TH ST E	SPANAWAY	WA	98446
00028	A-2 COLLINS RD WELL	B	YAKIMA	Private	10	4	4	0	01/01/1970	1410 COLLINS RD	SELAH	WA	98942
00030	BAILY MICHAEL M.	B	KING	Private	10	4	4	4	04/01/1980	21807 SE 221ST ST	MAPLE VALLEY	WA	98038
00032	CRANE - MAPLEWOOD GLEN	B	PIERCE	Private	10	4	4	0	06/14/1990	PO BOX 1222	BUCKLEY	WA	98321
00033	CONCORD LANE COMMUNITY ASSOCIATION	B	SKAGIT	Private	6	2	2	0	11/14/1990	23054 CONCORD LANE	SEDRO WOOLEY	WA	98284
00034	MARKER MEADOW SYSTEM	B	SNOHOMISH	Private	9	3	3	3	02/09/1990	21618 89TH ST SE	SNOHOMISH	WA	98290
00035	ROCKY POINT WATER ASSOCIATION	B	ISLAND	Association	12	5	5	7	11/21/1990	1060 BAYSHORE DRIVE	CAMANO ISLAND	WA	98282-7344
00039	"OSHAUGHNESSY, KEVIN"	B	KING	Investor	12	5	5	0	05/01/1980	13313 251 AVE SE	ISSAQUAH	WA	98027
00041	THOMPSON - ROY  WATER SYSTEM	B	KING	Private	5	2	2	0	11/14/1990	9325 - 372ND AVE  S E	SNOQUALMIE	WA	98065
00042	SMITH AND SMITH	B	KING	Private	5	2	2	0	05/01/1990	5821 - 322ND AVE  S E	FALL CITY	WA	98024
00046	"MAUNU, DEAN"	B	CLARK	Private	5	2	2	0	11/08/1990	P O  BOX 211	WOODLAND	WA	98674
00047	"MCCRAY, GEORGE AND LOUELLA"	B	CLARK	Private	5	2	2	2	11/08/1990	PO BOX 861	BATTLE GROUND	WA	98604
00049	"CLEMONS, WILLIAM"	B	CLARK	Investor	10	4	4	0	11/08/1990	3210 NE 113TH ST	VANCOUVER	WA	98686
00052	BRICKHOUSE	B	KITSAP	Private	5	2	2	2	04/01/1980	P.O. BOX 2109	PORT ORCHARD	WA	98370
