PWSID	Group	SystemName	County	SrcNum	Src_Name	SourceType	SourceUse	TrObjective	TrProcss	Src_EffectieDate	SRC_InactiveDate
00001	B	TRIPLE R RENTALS	YAKIMA	01	WELL #1	Well	Permanent			01/01/1970	
00003	B	AIRPORT RANCH WATER SYSTEM	YAKIMA	01	Well #1	Well	Permanent			01/01/1970	
00005	B	ADCO WATERMASTER - QCBID	GRANT	01	WELL 1	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	01/01/1970	
00006	B	AUTO VIEW DRIVE-IN	STEVENS	01	WELL 1	Well	Permanent			01/01/1970	
00011	B	BEN ROY RAY ROAD WELL ASSN	YAKIMA	01	WELL #1	Well	Permanent			01/01/1970	
00012	B	ARTONDALE HILL HOMEOWNER ASSN.	PIERCE	01	WELL	Well	Permanent			01/01/1970	
00014	B	AQUA VIEW COMMUNITY CLUB INC.	ISLAND	01	WELL ALT168	Well	Permanent			11/02/1990	
00015	B	FLANN SYSTEM	ISLAND	01	FLANN SYSTEM ALT114	Well	Permanent			11/14/1990	
00016	B	STEELE COMMUNITY WATER SYSTEM	KING	01	WELL	Well	Permanent			11/02/1990	
00017	B	KISER #2 COMMUNITY WATER SYSTEM	KING	01	WELL	Well	Permanent			10/25/1990	
00018	B	LARSON WATER SYSTEM	SNOHOMISH	01	WELL	Well	Permanent			01/04/1988	
00019	B	FULLER WATER SYSTEM	WHATCOM	01	WELL	Well	Permanent			12/11/1989	
00024	B	ADELAINE ACRES	PIERCE	01	WELL 1	Well	Permanent			10/09/1990	
00028	B	A-2 COLLINS RD WELL	YAKIMA	01	WELL #1	Well	Permanent			01/01/1970	
00030	B	BAILY MICHAEL M.	KING	01	WELL #1	Well	Permanent			01/01/1970	
00032	B	CRANE - MAPLEWOOD GLEN	PIERCE	01	CRANE-MAPLEWOOD GLEN	Well	Permanent			06/14/1990	
00033	B	CONCORD LANE COMMUNITY ASSOCIATION	SKAGIT	01	WELL #1	Well	Permanent			11/14/1990	
00034	B	MARKER MEADOW SYSTEM	SNOHOMISH	01	WELL	Well	Permanent			02/09/1990	
00035	B	ROCKY POINT WATER ASSOCIATION	ISLAND	01	WELL APH261	Well	Permanent			11/21/1990	
00039	B	"OSHAUGHNESSY, KEVIN"	KING	01	WELL #1	Well	Permanent			01/01/1970	
00041	B	THOMPSON - ROY  WATER SYSTEM	KING	01	WELL	Well	Permanent			11/14/1990	
00042	B	SMITH AND SMITH	KING	01	WELL	Well	Permanent			05/01/1990	
00046	B	"MAUNU, DEAN"	CLARK	01	WELL	Well	Permanent			11/08/1990	
00047	B	"MCCRAY, GEORGE AND LOUELLA"	CLARK	01	WELL	Well	Permanent			11/08/1990	
00049	B	"CLEMONS, WILLIAM"	CLARK	01	WELL #1 NO TAG	Well	Permanent			11/08/1990	
00052	B	BRICKHOUSE	KITSAP	01	Well #1 AES185	Well	Permanent	IRON & MANGANESE REMOVAL	PERMANGANATE	01/01/1970	
00052	B	BRICKHOUSE	KITSAP	01	Well #1 AES185	Well	Permanent	PARTICULATE (TURBIDITY) REMOVAL	"FILTRATION, RAPID SAND"	01/01/1970	
00052	B	BRICKHOUSE	KITSAP	01	Well #1 AES185	Well	Permanent	TASTE/ODOR CONTROL & DECHLORINATION	OTHER PROCESSES/OBJECTIVES	01/01/1970	
00055	B	"DAMRILL, LOYD"	CLARK	01	WELL	Well	Permanent			11/08/1990	
00056	B	"WEBBER, R.E."	CLARK	01	WELL	Well	Permanent			11/08/1990	
00062	B	VIEW ACRES SATELLITE	CLARK	01	WELL #1 AAF519	Well	Permanent	DISINFECTION	"CHLORINATION, HYPOCHLORITE"	11/08/1990	
00062	B	VIEW ACRES SATELLITE	CLARK	01	WELL #1 AAF519	Well	Permanent	DISINFECTION	"FILTRATION, SLOW SAND"	11/08/1990	
00064	B	MINICK WELL	BENTON	01	Well #1	Well	Permanent			06/25/1996	
00065	B	YELM STORAGEER SYSTEM	THURSTON	01	WELL #1 NO TAG	Well	Permanent			11/08/1990	
00067	B	ISABELLA LOOP COMM	MASON	01	WELL	Well	Permanent			11/08/1990	
00068	B	AMERICUS	CLALLAM	01	WELL #1	Well	Permanent			11/08/1990	
00069	B	MT OLYMPUS COMMUNITY	MASON	01	WELL #1	Well	Permanent			11/08/1990	
00071	B	SUHADOLNIK WATER SYSTEM	BENTON	01	WELL #1	Well	Permanent			03/14/1990	
00072	B	SHELTON WATER SYSTEM	FRANKLIN	01	WELL #1	Well	Permanent			10/09/1990	
00073	B	SEVEN ARROW RANCH WATER SYSTEM	FRANKLIN	01	WELL #1	Well	Permanent			10/26/1990	
00074	B	STORM S WELL WATER SYSTEM	SPOKANE	01	WELL 1	Well	Permanent			10/01/1990	
00077	B	PARK WATER SYSTEM	BENTON	01	WELL 1	Well	Permanent			07/19/1990	
00078	B	TAYLOR WATER SYSTEM	YAKIMA	01	WELL #1	Well	Permanent			09/04/1990	
00079	B	SPOKANE RIFLE CLUB NORTH	SPOKANE	01	Well #1 AHC114	Well	Permanent			01/18/1990	
00080	B	SPOKANE RIFLE CLUB SOUTH	SPOKANE	01	Well #2 AHC115	Well	Permanent			01/18/1990	
00081	B	DARNALL WATER SYSTEM	YAKIMA	01	WELL #1	Well	Permanent			09/09/1990	
00082	B	BAKER/KRIETZMAN WELL	SPOKANE	01	WELL #1	Well	Permanent			10/14/1990	
