"AMROY","AMBOY"
"ANANCORTES","ANACORTES"
"BAINBRIDGE","BAINBRIDGE ISLAND"
"BAINBRIDGE IS.","BAINBRIDGE ISLAND"
"BAINBRIDGE IS","BAINBRIDGE ISLAND"
"BAINBRIDGE_ISLAND","BAINBRIDGE ISLAND"
"BATTLE GOUND","BATTLE GROUND"
"BATTLEGROUND","BATTLE GROUND"
"BATTLE GROUNG","BATTLE GROUND"
"BELFARE","BELFAIR"
"BELILNGHAM","BELLINGHAM"
"BENTON","BENTON CITY"
"BERING","BARING"
"BLAIN","BLAINE"
"BLAKELY","BLAKELY ISLAND"
"BOART","HOBART"
"BONNEYLAKE","BONNEY LAKE"
"BOTHEL","BOTHELL"
"BOX","BOW"
"BRUSH PARIRIE","BRUSH PRAIRIE"
"BUCKLY","BUCKLEY"
"CASTLEROCK","CASTLE ROCK"
"CLEARWATER-FORKS","FORKS"
"CONCULLY","CONCONULLY"
"CORNATION","CARNATION"
"COUPEVILE","COUPEVILLE"
"CRESTON","PRESTON"
"DESERTAIRE","DESERT AIRE"
"DESMOINES","DES MOINES"
"EASTONVILLE","EATONVILLE"
"EAST SOUND","EASTSOUND"
"EAST WENTACHEE","EAST WENATCHEE"
"EATNOVILLE","EATONVILLE"
"E WENATCHEE","EAST WENATCHEE"
"GOLDBAR","GOLD BAR"
"GOLENDALE","GOLDENDALE"
"GRANDVIEW RD","GRANDVIEW"
"GRANVIEW","GRANDVIEW"
"GREEN WATER","GREENWATER"
"HARRA","HARRAH"
"HOODS PORT","HOODSPORT"
"ILLWACO","ILWACO"
"ISSAGUAH","ISSAQUAH"
"ISSQUAH","ISSAQUAH"
"JOINT BASE LEWIS MCCHORD","JOINT BASE LEWIS-MCCHORD"
"KENNEWEICK","KENNEWICK"
"KENNWICK","KENNEWICK"
"LACENTER","LA CENTER"
"LACONNER","LA CONNER"
"LILLIWAP","LILLIWAUP"
"LITTLEROCK","LITTLE ROCK"
"LONGBEACH","LONG BEACH"
"LYNDED","LYNDEN"
"MALLOT","MALOTT"
"MALO","MALOTT"
"MANSON, WA","MANSON"
"MAPLE VAQLLEY","MAPLE VALLEY"
"MAPLLE VALLEY","MAPLE VALLEY"
"MC KENNA","MCKENNA"
"MEDICAL LK","MEDICAL LAKE"
"METALINE","METALINE FALLS"
"MOSSYROCK","MOSSYROCK"
"MOUNT LAKE TERRACE","MOUNTLAKE TERRACE"
"MOXEE CITY","MOXEE"
"MUKITEO","MUKILTEO"
"NEW CASTLE","NEWCASTLE"
"NORTHBEND","NORTH BEND"
"OCEANPARK","OCEAN PARK"
"PARCELLS RD NE","KINGSTON"
"PAULSBO","POULSBO"
"POINT ROBERT","POINT ROBERTS"
"POULBSO","POULSBO"
"PROSSER RD","PROSSER"
"PT ANGELES","PORT ANGELES"
"PT ORCHARD","PORT ORCHARD"
"QULICENE","QUILCENE"
"RANDAL","RANDLE"
"RAVENSADALE","RAVENSDALE"
"REARDON","REARDAN"
"REDMOND WA 98052","REDMOND"
"REMOND","REDMOND"
"REVENSDALE","RAVENSDALE"
"RIDFEFIELD","RIDGEFIELD"
"RIDGEFFIELD","RIDGEFIELD"
"SEATTTLE","SEATTLE"
"SEDOR WOOLLEY","SEDRO WOOLLEY"
"SEDRO WOOLEY","SEDRO WOOLLEY"
"SEQUIM BAY","SEQUIM"
"SILVERCREEK","SILVER CREEK"
"SILVERLAKE","SILVER LAKE"
"SMMAMISH","SAMMAMISH"
"SNQUAMISH","SUQUAMISH"
"SOAP LK","SOAP LAKE"
"S[PLAME","SPOKANE"
"STELACOOM","STEILACOOM"
"TROUTLAKE","TROUT LAKE"
"VASHION ISLAND","VASHON ISLAND"
"WEANTCHEE","WENATCHEE"
"WENATHCHEE","WENATCHEE"
"W RICHLAND","WEST RICHLAND"
"W. RICHLAND","WEST RICHLAND"
