PWSCity	WSState	WSZipCode	lon	lat
RITZVILLE	WA	99169	-118.3799751	47.1273723
ROYAL CITY	WA	99357	-119.6305912	46.9009701
SEQUIM	WA	98382	-123.1018437	48.0795365
GIG HARBOR	WA	98335	-122.5801293	47.329264
ABERDEEN	WA	98520	-123.8157218	46.9753708
PORT HADLOCK	WA	98339	-122.7641149	48.0333914
ISSAQUAH	WA	98027	-122.0326191	47.5301011
RICHLAND	WA	99352	-119.2934654	46.239409
VAUGHN	WA	98394	-122.7741913	47.3146613
NEWPORT	WA	99156	-117.0432583	48.1796277
LYNDEN	WA	98264	-122.4537599	48.9552764
OLYMPIA	WA	98502	-122.9006951	47.0378741
SHELTON	WA	98584	-123.1007066	47.2150945
CHEHALIS	WA	98532	-122.9640175	46.6620478
GOLDENDALE	WA	98620	-120.837563	45.830677
PORT ORCHARD	WA	98366	-122.6362492	47.5403732
ACME	WA	98220	-122.2051584	48.7170574
OLYMPIA	WA	98513	-122.7319699	46.9959374
SAMMAMISH	WA	98075	-122.0446183	47.5891279
PORT ANGELES	WA	98362	-123.3456072	47.9506586
POULSBO	WA	98370	-122.6465372	47.735928
PACIFIC BEACH	WA	98571	-124.2024476	47.2196705
LOON LAKE	WA	99148	-117.6333249	48.0617096
KELSO	WA	98626	-122.9084445	46.146779
MOUNT VERNON	WA	98273	-122.3340474	48.421216
FREELAND	WA	98249	-122.525983	48.009537
STANWOOD	WA	98292	-122.3707103	48.2412107
YAKIMA	WA	98908	-120.732328	46.6142844
LA CONNER	WA	98257	-122.4962752	48.3887142
OLYMPIA	WA	98501	-122.8975562	46.9748058
OAK HARBOR	WA	98277	-122.6432245	48.2931559
BELLINGHAM	WA	98227	-122.48	48.75
VANCOUVER	WA	98668	-122.6234603	45.6405989
TUMWATER	WA	98512	-122.9093063	47.0073187
OTHELLO	WA	99344	-119.1752913	46.8259742
CHENEY	WA	99004	-117.5757622	47.4873895
PASCO	WA	99301	-119.1005657	46.2395793
EAST OLYMPIA	WA	98540	-122.8370944	46.9667452
SEATTLE	WA	98102	-122.3215448	47.6338217
COLLEGE PLACE	WA	99324	-118.3875722	46.0469456
KENNEWICK	WA	99337	-119.1372338	46.2112458
WENATCHEE	WA	98807	-120.31	47.42
FERNDALE	WA	98248	-122.5910056	48.8464991
