PWSID	Group	SystemName	County	SrcNum	Src_Name	SourceType	SourceUse	TrObjective	TrProcss	Src_EffectieDate	SRC_InactiveDate
00008	A	ADAMS COUNTY FAIR	ADAMS	1	WELL #1 AFL235	WELL	PERMANENT			1970-01-01	NA
00020	A	PORT OF ROYAL SLOPE	GRANT	1	WELL #1 - AAN526	WELL	PERMANENT	DISINFECTION	CHLORINATION, HYPOCHLORITE	2002-01-24	NA
00020	A	PORT OF ROYAL SLOPE	GRANT	2	WELL #2 - ALF732	WELL	PERMANENT	DISINFECTION	CHLORINATION, HYPOCHLORITE	2014-10-03	NA
00029	A	CARLSBORG MOBILE ESTATES	CLALLAM	1	WELL #3 AFN822	WELL	EMERGENCY			1980-08-21	NA
00029	A	CARLSBORG MOBILE ESTATES	CLALLAM	2	WELL #2 APQ211	WELL	PERMANENT			2007-12-26	NA
00045	A	LOOKOUT POINT	KITSAP	1	WELL #1 AES138 WW	WELL IN WELL FIELD	PERMANENT			1990-11-08	NA
00045	A	LOOKOUT POINT	KITSAP	2	WELL #2 AES139 WW	WELL IN WELL FIELD	PERMANENT			1990-11-08	NA
00045	A	LOOKOUT POINT	KITSAP	3	WF (S01 & 2)	WELL FIELD	PERMANENT			1998-07-02	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	ORGANICS AND COLOR REMOVAL	OTHER PROCESSES/OBJECTIVES	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	ORGANICS AND COLOR REMOVAL	FLOCCULATION	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	ORGANICS AND COLOR REMOVAL	FILTRATION, PRESSURE SAND	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	CORROSION CONTROL	CORROSION INHIBITORS - PHOSP/SILICA	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	SOFTENING (HARDNESS REMOVAL)	PH ADJUSTMENT	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FILTRATION, PRESSURE SAND	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	OTHER PROCESSES/OBJECTIVES	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	ORGANICS AND COLOR REMOVAL	COAGULATION	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	DISINFECTION	CHLORINATION, GASEOUS	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	DENTAL HEALTH	FLUORIDATION	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	1	WISHKAH RIVER	SURFACE	PERMANENT	ORGANICS AND COLOR REMOVAL	PH ADJUSTMENT	1970-01-01	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	2	HOQUIAM /34350 ABERDEEN AVE (2 WAY)	INTERTIE - UNTREATED	EMERGENCY			1998-09-28	NA
00050	A	ABERDEEN, CITY OF	GRAYS HARBOR	3	HOQUIAM /34350 PORT DOCK (2 WAY)	INTERTIE - UNTREATED	EMERGENCY			1998-09-28	NA
00058	A	JEFFERSON COUNTY LUD #3	JEFFERSON	1	WELL #1 NO TAG	WELL	EMERGENCY			1995-03-28	1995-03-28
00058	A	JEFFERSON COUNTY LUD #3	JEFFERSON	2	69000/PORT TOWNSEND- PTSW	INTERTIE - UNTREATED	PERMANENT			1990-11-08	NA
00066	A	ISSAQUAH CHRISTIAN CHURCH	KING	1	WELL 1	WELL	PERMANENT			2004-03-23	NA
00066	A	ISSAQUAH CHRISTIAN CHURCH	KING	2	WELL 2 BCM154	WELL	PERMANENT			2012-12-17	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	DISINFECTION	CHLORINATION, GASEOUS	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FILTRATION, RAPID SAND	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	1	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	SEDIMENTATION, OTHER	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	SEDIMENTATION, OTHER	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FILTRATION, RAPID SAND	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	DISINFECTION	CHLORINATION, GASEOUS	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	2	COLUMBIA RIVER	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	1991-07-12	1991-07-12
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	DISINFECTION	CHLORINATION, GASEOUS	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	FILTRATION, RAPID SAND	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	3	EXPORT LINE	SURFACE	PERMANENT	PARTICULATE (TURBIDITY) REMOVAL	SEDIMENTATION, OTHER	1991-07-12	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	PARTICULATE (TURBIDITY) REMOVAL	SEDIMENTATION, OTHER	2000-01-18	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	PARTICULATE (TURBIDITY) REMOVAL	FILTRATION, RAPID SAND	2000-01-18	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	DISINFECTION	CHLORINATION, GASEOUS	2000-01-18	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	PARTICULATE (TURBIDITY) REMOVAL	FLOCCULATION	2000-01-18	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	PARTICULATE (TURBIDITY) REMOVAL	RAPID MIX/IN-LINE BLENDER	2000-01-18	NA
00100	A	ENERGY, DEPT OF/200W	BENTON	4	41866V/ENERGY, DEPT 200E	INTERTIE - TREATED	EMERGENCY	PARTICULATE (TURBIDITY) REMOVAL	COAGULATION	2000-01-18	NA
00101	A	KEY PENINSULA CIVIC CENTER ASSN	PIERCE	1	CIVIC CENTER ACM755	WELL	PERMANENT			1990-10-01	NA
00111	A	CAMP COWLES	PEND OREILLE	1	DIAMOND LAKE	SURFACE	PERMANENT			1996-06-10	1996-06-10
00111	A	CAMP COWLES	PEND OREILLE	2	DIAMOND LK SEWER DIST/19207F	INTERTIE - TREATED	PERMANENT			1996-06-10	NA
00119	A	KONTREE APARTMENTS WATER SYSTEM	WHATCOM	1	WELL 1 - WEST	WELL	EMERGENCY			1990-11-21	NA
00119	A	KONTREE APARTMENTS WATER SYSTEM	WHATCOM	2	WELL 2 - EAST UNAPPROVED	WELL	PERMANENT	DISINFECTION	CHLORINATION, HYPOCHLORITE	1990-11-21	NA
00133	A	CORNERSTONE ESTATES 606	THURSTON	1	WELL #1	WELL	PERMANENT	DISINFECTION	CHLORINATION, HYPOCHLORITE	1990-11-29	NA
