"PWSID","SystemName","Group","County","OwnerTypeDesc","ResPop","ResConn","TotalConn","ApprovSvcs","EffectiveDate","PWSAddress1","PWSCity","WSState","WSZipCode"
"00008","ADAMS COUNTY FAIR","A","ADAMS","COUNTY",0,0,157,0,1980-05-01,"210 WEST ALDER","RITZVILLE","WA","99169"
"00020","PORT OF ROYAL SLOPE","A","GRANT","SPECIAL DISTRICT",0,0,4,25,2002-01-24,"PO BOX 147","ROYAL CITY","WA","99357"
"00029","CARLSBORG MOBILE ESTATES","A","CLALLAM","INVESTOR",69,53,53,53,1980-01-01,"PO BOX 92","SEQUIM","WA","98382"
"00045","LOOKOUT POINT","A","KITSAP","INVESTOR",72,27,28,28,1990-11-08,"PO BOX 336","GIG HARBOR","WA","98335"
"00050","ABERDEEN, CITY OF","A","GRAYS HARBOR","CITY/TOWN",16920,6755,7498,0,1970-01-01,"200 E MARKET ST","ABERDEEN","WA","98520"
"00058","JEFFERSON COUNTY LUD #3","A","JEFFERSON","SPECIAL DISTRICT",800,320,320,619,1990-11-08,"PO BOX 929","PORT HADLOCK","WA","98339"
"00066","ISSAQUAH CHRISTIAN CHURCH","A","KING","PRIVATE",0,0,2,2,2004-03-23,"PO BOX 1028","ISSAQUAH","WA","98027"
"00100","ENERGY, DEPT OF/200W","A","BENTON","FEDERAL",0,0,189,0,1990-11-13,"PO BOX 650  MSIN:S0-20","RICHLAND","WA","99352"
"00101","KEY PENINSULA CIVIC CENTER ASSN","A","PIERCE","PRIVATE",1,1,2,2,1990-10-01,"PO BOX 82","VAUGHN","WA","98394"
"00111","CAMP COWLES","A","PEND OREILLE","PRIVATE",2,7,37,0,1990-09-20,"4161 NORTHSHORE DIAMOND LAKE RD","NEWPORT","WA","99156"
"00119","KONTREE APARTMENTS WATER SYSTEM","A","WHATCOM","INVESTOR",60,36,36,0,1990-11-21,"6951 HANNEGAN ROAD, #2","LYNDEN","WA","98264"
"00133","CORNERSTONE ESTATES 606","A","THURSTON","SPECIAL DISTRICT",48,15,15,16,1990-11-29,"921 LAKERIDGE WAY SW SUITE 301","OLYMPIA","WA","98502"
"00153","TWANOH HEIGHTS COMMUNITY CLUB","A","MASON","SPECIAL DISTRICT",98,39,39,75,1980-04-01,"21971 N HWY. 101","SHELTON","WA","98584"
"00177","ENERGY, DEPT OF/100K","A","BENTON","FEDERAL",0,0,5,0,1990-12-18,"PO BOX 1600 MS:X3-20","RICHLAND","WA","99352"
